"l",0.0713,11.4312,11.3599
"a",0.1311,11.7036,11.5725
"space",0.0792,11.8486,11.7693
"p",0.0651,12.2482,12.1831
"o",0.0658,12.4422,12.3764
"s",0.1089,12.8302,12.7213
"a",0.1044,13.1028,12.9985
"d",0.1008,13.3705,13.2697
"e",0.1069,13.5860,13.4792
"r",0.1080,13.8236,13.7156
"a",0.1407,14.6243,14.4836
"space",0.0752,15.0884,15.0133
"p",0.0792,15.9972,15.9179
"r",0.1138,16.5788,16.4650
"o",0.0805,16.8384,16.7579
"m",0.0746,17.1237,17.0492
"e",0.1314,17.6966,17.5652
"t",0.1086,18.2452,18.1366
"i",0.0607,18.5582,18.4975
"o",0.0911,18.7693,18.6781
"space",0.0706,19.7483,19.6778
"c",0.1178,20.4199,20.3021
"u",0.0655,20.8741,20.8086
"m",0.0655,21.2707,21.2052
"p",0.0624,21.7610,21.6985
"l",0.0834,21.9738,21.8904
"i",0.0835,22.2497,22.1662
"r",0.1278,23.2731,23.1452
"space",0.0753,24.4143,24.3391
"c",0.1088,24.9660,24.8572
"o",0.0755,25.4765,25.4010
"n",0.0605,26.2459,26.1854
"space",0.0655,26.4502,26.3847
"e",0.1231,26.7587,26.6356
"l",0.0628,27.1031,27.0403
"space",0.0646,27.3429,27.2783
"e",0.1312,27.7836,27.6524
"n",0.0704,28.2536,28.1831
"c",0.1039,28.8331,28.7292
"a",0.1106,29.2242,29.1136
"r",0.1239,29.6499,29.5260
"g",0.1519,30.3105,30.1586
"o",0.0726,30.5578,30.4852
"space",0.0702,31.5068,31.4367
"y",0.0656,32.5388,32.4732
"space",0.0621,32.7978,32.7358
"d",0.0977,33.1243,33.0266
"e",0.1061,33.3681,33.2620
"s",0.1138,33.8084,33.6945
"p",0.0752,34.5994,34.5242
"u",0.0860,35.3735,35.2875
"e",0.1171,35.6821,35.5650
"s",0.1006,36.2049,36.1043
"space",0.0703,36.3954,36.3251
"d",0.1001,36.6526,36.5525
"e",0.1012,36.8654,36.7642
"space",0.0737,37.0812,37.0075
"c",0.1107,37.3991,37.2884
"e",0.1320,37.7141,37.5821
"n",0.0703,38.0639,37.9936
"a",0.1183,38.3670,38.2487
"r",0.1190,39.2054,39.0863
"Return",0.0704,40.3953,40.3250
"space",0.0557,40.7588,40.7031
"l",0.0613,41.3100,41.2487
"o",0.0508,41.4866,41.4357
"s",0.1175,41.8736,41.7561
"space",0.0606,42.0494,41.9888
"t",0.0612,42.5262,42.4650
"r",0.0729,42.8834,42.8104
"e",0.1166,43.1520,43.0354
"s",0.0989,44.0632,43.9643
"space",0.0701,44.2887,44.2185
"s",0.1056,44.7667,44.6611
"e",0.0970,44.9984,44.9014
"space",0.0711,45.2075,45.1364
"f",0.1257,45.6679,45.5422
"u",0.0636,46.0542,45.9906
"e",0.1323,46.6952,46.5629
"r",0.1227,46.9659,46.8433
"o",0.0757,47.2031,47.1274
"n",0.0834,47.9864,47.9030
"space",0.0644,49.1581,49.0937
"a",0.1168,49.6599,49.5431
"space",0.0704,49.8093,49.7389
"d",0.1018,50.1917,50.0899
"o",0.0649,50.8477,50.7828
"r",0.1119,51.4241,51.3122
"m",0.0645,51.7302,51.6658
"i",0.0693,52.0485,51.9793
"r",0.1218,52.6954,52.5736
"period",0.0596,54.1244,54.0648
"Return",0.0687,54.6247,54.5560
"c",0.1192,57.5931,57.4739
"o",0.0596,57.8924,57.8329
"m",0.0596,58.3404,58.2809
"o",0.0588,58.6330,58.5742
"space",0.0639,58.9166,58.8528
"s",0.1171,59.2357,59.1187
"i",0.0592,59.5337,59.4745
"n",0.0690,59.8243,59.7554
"t",0.1299,60.5178,60.3879
"i",0.0638,60.7475,60.6836
"e",0.1201,61.4859,61.3659
"r",0.1301,61.7398,61.6097
"o",0.0654,62.1330,62.0676
"n",0.0608,62.7472,62.6865
"space",0.0654,62.9647,62.8992
"f",0.1105,63.3794,63.2689
"r",0.1128,63.7182,63.6054
"i",0.0619,64.0684,64.0065
"o",0.0753,64.2841,64.2088
"space",0.0684,65.9587,65.8903
"d",0.0895,67.4665,67.3770
"e",0.1010,67.7194,67.6184
"c",0.1362,68.2651,68.1289
"i",0.0687,68.5466,68.4779
"d",0.1313,68.9484,68.8171
"i",0.0761,69.4140,69.3379
"e",0.1089,69.7159,69.6070
"r",0.1276,69.9702,69.8426
"o",0.0804,70.7487,70.6683
"n",0.0627,71.0501,70.9874
"space",0.0604,71.2702,71.2098
"q",0.1456,71.7581,71.6125
"u",0.0651,72.0366,71.9715
"e",0.1216,72.3828,72.2613
"space",0.0775,72.5797,72.5022
"u",0.0594,73.2139,73.1545
"n",0.0691,73.5014,73.4323
"o",0.0738,74.0447,73.9709
"space",0.0595,74.3415,74.2821
"d",0.1171,74.8058,74.6887
"e",0.1174,75.0253,74.9079
"space",0.0608,75.2411,75.1803
"e",0.1299,75.6452,75.5153
"l",0.0565,75.9462,75.8897
"l",0.0810,76.1172,76.0363
"o",0.0746,76.3719,76.2973
"s",0.1552,76.9688,76.8136
"space",0.0611,78.9108,78.8497
"f",0.1376,80.1801,80.0425
"u",0.0637,80.4733,80.4096
